醫院地址,LanLong
新北市金山區五湖里玉爐路7號,"25.2195534, 121.628399"
新北市板橋區南雅南路二段21號及高爾富路300號,"24.997236, 121.4532954"
新北市板橋區忠孝路十五號,"24.9826334, 121.5377321"
新北市板橋區忠孝路五、七、九、十一號一至三樓。,"25.0019307, 121.4599294"
新北市板橋區中正路１８９號,"24.9374475, 121.4885312"
新北市板橋區文化路1段267、269、271號1-4樓,"25.0167323, 121.4630924"
新北市板橋區文化路一段192之1號1樓、194號1至4樓、196號1至4樓、198號1至4樓、200號1至4樓、202號1至4樓、204號1至4樓,"25.019732, 121.466237"
新北市板橋區南雅南路一段15號之1、17號、19號(1、2、3、4樓),"25.0068854, 121.4564325"
新北市汐止區建成路59巷2號地下4樓至地上12樓,"25.0729216, 121.6610289"
新北市瑞芳區一坑路71之2號,"25.1086013, 121.8021747"
新北市新店區建國路277號地上1、3、4樓及289號地下1至3樓至地上1至15樓,"24.9846761, 121.5369812"
新北市新店區安泰路１５７號,"24.9374475, 121.4885312"
新北市新店區安康路2段323號地上1至2樓,"24.9555591, 121.4997383"
新北市新店區民權路８９號,"24.9826334, 121.5377321"
新北市新店區安忠路57巷5號,"24.9590299, 121.513413"
新北市新店區中正路362號,"24.976293, 121.5357523"
新北市永和區中興街80號地下1樓至地上6樓及國光路123號地下3樓至地上11樓,"25.0118154, 121.5178975"
新北市永和區中和路575、577、579號1至4樓,"25.0038362, 121.511953"
新北市永和區福和路278號2至6樓,"25.0075945, 121.5178438"
新北市中和區中正路291號醫療大樓地下2層至地上12層,"24.9927442, 121.4936559"
新北市中和區景平路412、412之1號1至5樓,"24.993283, 121.508262"
新北市中和區連城路49號1至4樓,"25.0018899, 121.4985247"
新北市中和區中山路二段551號地下一樓至地上一至六樓,"25.005464, 121.480915"
新北市中和區中山路二段138號〈二至四樓〉?140及142號〈一至四樓〉,"25.0032502, 121.5020569"
新北市土城區裕民路２７４．２７６．２７８號,"24.9822464, 121.4548156"
新北市土城區中央路一段7-18號地下1樓、1樓、2樓、4至10樓,"24.9911994, 121.448833"
新北市土城區中央路1段六二．六四號1-５樓中華路一段一號2-5樓三號1-5樓,"24.968371, 121.438034"
新北市土城區金城路二段6號,"24.9768695, 121.4487782"
新北市土城區中央路2段318．320．322．324號1至4樓,"24.9728932, 121.4403173"
新北市三峽區介壽路1段199號,"24.9307144, 121.3783436"
新北市三峽區介壽路一段286號2樓,"24.9300099, 121.379828"
新北市三峽區復興路399號、中山路198號,"24.9383661, 121.3630686"
新北市樹林區文化街9號(地下1、2樓及地上1樓至8樓),"24.9871737, 121.4200433"
新北市鶯歌區鶯桃路二段62號及64號1至4樓,"24.9733097, 121.3249141"
新北市三重區三和路二段一八六、一八八、一九０、一九二、一九四、一九六號一至四樓,"25.0682359, 121.4997383"
新北市三重區新北大道1段3號、3之1號,"25.0609301, 121.4902027"
新北市板橋區英士路198號,"25.0235728, 121.4576649"
新北市三重區中興北街二十一號,"25.0466533, 121.4697289"
新北市三重區重新路二段2號、6號地下1層至地上9層,"25.062801, 121.499882"
新北市新莊區中港路127號1-4樓,"25.0401053, 121.4551363"
新北市新莊區大觀街４６－２號,"25.0466533, 121.4697289"
新北市新莊區新泰路141號2-5樓、143號2-5樓、145號、147號、151號、153號、155號、157號、165號、167號、169號,"25.0365205, 121.4480496"
新北市新莊區中環路1段28號,"25.0397399, 121.4418568"
新北市新莊區中正路395號1-5樓、397-3號、397-4號、福海街24巷1號1樓,"25.0344689, 121.4454927"
新北市新莊區中正路794號及桃園縣龜山鄉萬壽路1段50巷2號,"25.0222652, 121.4090275"
新北市新莊區中正路二一五號一至四樓,"25.0357368, 121.4511316"
新北市新莊區思源路127號,"25.0428869, 121.4595489"
新北市泰山區貴子路69號(地下4層、地上1至9層及13層),"25.1182671, 121.8646585"
新北市蘆洲區三民路7號,"25.0820688, 121.4757341"
新北市八里區華富山33號、土城區青雲路6號1、2樓、蘆洲區光榮路116號1樓,"25.1400031, 121.4197179"
新北市淡水區民生路四十五號、民權路47號B1~10樓,"25.1383042, 121.4633981"
新北市淡水區忠寮里演戲埔腳1之2號,"25.1936863, 121.4754733"
新北市淡水區下圭柔山九一巷二號一至四樓．地下一樓,"25.210801, 121.437825"
新北市淡水區英專路２１巷２５．２７號、中山路３８．４０號,"25.1698132, 121.4446935"
新北市三芝區興華里楓子林路四十二之五號、四十二之九號〈一至二樓〉,"25.2084559, 121.4960465"