全聯家樂福地址,Lat,Long
新北市三峽區中華路95號一樓,24.9291934, 121.3718077
新北市三峽區光明路59.61.63號,24.92894, 121.3754884
新北市三峽區和平街65號B1,24.9365881, 121.3701246
新北市三峽區學成路97.99號,24.9443084, 121.3765597
新北市三重區力行路1段54號,25.0687332, 121.4849975
新北市三重區三和路2段139號,25.0694399, 121.4984284
新北市三重區三和路4段103號之2,25.0766707, 121.4870484
新北市三重區中正北路592號,25.0720738, 121.4698774
新北市三重區仁愛街278號,25.0791086, 121.4924031
新北市三重區永福街15號地下1樓,25.078409, 121.481915
新北市三重區重安街70號光明市場2樓,25.0571488, 121.4913863
新北市三重區重新路2段78號之21,25.0619496, 121.4974124
新北市三重區集美街61號之1,25.054192, 121.488354
新北市三重區龍門路6-1號,25.0713885, 121.4948062
新北市中和區大勇街78號,24.9947291, 121.5182537
新北市中和區中山路3段35-2號,25.0055659, 121.4787058
新北市中和區中安街196號B1,24.9991062, 121.5114778
新北市中和區民樂路3號,25.0016072, 121.4818372
新北市中和區光華街31巷2號1樓,25.0039979, 121.505183
新北市中和區安平路87、87-1、87-2號1樓、2樓,24.996452, 121.510564
新北市中和區秀朗路3段175巷2號,24.9908784, 121.5243476
新北市中和區南華路27號Ｂ1,24.9960811, 121.5029865
新北市中和區景平路541號B1、543號1樓、B1,24.9993031, 121.4986187
新北市中和區景安路34號地下一樓,24.9983849, 121.507064
新北市中和區景新街516號地下2樓,24.986861, 121.513665
新北市五股區工商路112號,25.0855899, 121.4371882
新北市五股區成泰路1段235號之13,25.0794009, 121.4360864
新北市土城區中央路2段191號B1-3樓,24.975535, 121.442173
新北市土城區中州路28巷30號2樓,24.9580658, 121.4147093
新北市土城區金城路3段12號B1、B1-1/14號B1,24.9860613, 121.4649582
新北市土城區裕民路116號B1,24.986353, 121.451128
新北市土城區廣明街63巷31號1樓,24.9930699, 121.4539528
新北市新店區三民路42-1號,24.971875, 121.5361199
新北市新店區中央五街60號地下室,24.9753046, 121.5278293
新北市新店區北宜路2段82-7號1樓,24.95314, 121.554535
新北市新店區北新路1段181.183號,24.9643082, 121.5399966
新北市新店區北新路二段252號地下室,24.9779922, 121.5431641
新北市新店區民族路190號地下室,24.9756852, 121.5361529
新北市新店區安民街79號,24.9675288, 121.5165432
新北市新店區安康路二段133號,24.9604763, 121.5119818
新北市新店區建國路210號,24.9809528, 121.5377947
新北市新莊區中平路82巷27號,25.0450366, 121.4460221
新北市新莊區中正路893巷2之1號,25.02089, 121.413031
新北市新莊區中和街188號地下室,25.0500119, 121.4475869
新北市新莊區中華路二段1號地下1樓,25.0451137, 121.4532061
新北市新莊區公園路129號,25.0409058, 121.4571786
新北市新莊區化成路71號,25.0460951, 121.4652476
新北市新莊區民安西路309號,25.0114967, 121.4271176
新北市新莊區民安路188巷5號之2,25.0230556, 121.4247222
新北市新莊區西盛街202號,25.0182999, 121.4280232
新北市新莊區昌盛街105號1樓,25.0500122, 121.4562792
新北市新莊區建國一路53號,25.0306594, 121.4347879
新北市新莊區後港一路68號,25.0262155, 121.4268103
新北市新莊區復興路2段47號,25.0442355, 121.4547085
新北市新莊區新泰路85號地下樓,25.0344999, 121.449072
新北市板橋區大觀路3段236號B1,24.9922026, 121.4296291
新北市板橋區中山路2段326號,25.0197409, 121.4812088
新北市板橋區中正路1巷28號,25.0114819, 121.454789
新北市板橋區文聖街73號1+2樓,25.0304976, 121.4773092
新北市板橋區民生路3段323號B1之4、B1之5,25.0309185, 121.4625585
新北市板橋區光武街61號,25.0258151, 121.467097
新北市板橋區江寧路3段29號1樓,25.031731, 121.4710917
新北市板橋區金門街295號B1,24.9866471, 121.4303253
新北市板橋區雨農路27巷2號,25.0238593, 121.4612791
新北市板橋區重慶路247號1樓,25.0004507, 121.4636022
新北市板橋區國光路57號地下1樓,25.0180093, 121.4585851
新北市板橋區雙十路2段209號B1,25.0290559, 121.4730013
新北市林口區竹林路12號,25.0772771, 121.3870241
新北市樹林區中山路1段29-1.31號,24.9929312, 121.4244081
新北市樹林區佳園路1段41巷1號,24.971312, 121.3934953
新北市樹林區保安街1段183號,24.9956915, 121.4211814
新北市永和區中正路742號,25.0103652, 121.5153318
新北市永和區竹林路179巷4號地下室,25.0097519, 121.5209549
新北市永和區福和路353號,25.0072699, 121.5146893
新北市汐止區大同路二段240號地下1樓,25.0654557, 121.654052
新北市汐止區中興路168號B1,25.0656147, 121.6319275
新北市汐止區忠孝東路429號,25.0718414, 121.66583
新北市汐止區建成路58號,25.0732535, 121.6634676
新北市汐止區康寧街430號,25.0676919, 121.631141
新北市汐止區樟樹一路8號地下1樓,25.0621527, 121.641964
新北市汐止區龍安路28巷6號,25.064573, 121.6551375
新北市泰山區文程路15號,25.04949, 121.4280983
新北市泰山區明志路1段21號,25.065748, 121.4337895
新北市泰山區明志路三段87號,25.0414021, 121.4251505
新北市泰山區泰林路2段200號,25.0612899, 121.4334535
新北市泰山區福興二街37號,25.057355, 121.4323828
新北市淡水區大忠街89號,25.1776989, 121.446651
新北市淡水區民族路31號地下室,25.1365508, 121.4613031
新北市淡水區博愛街51巷5號,25.1689987, 121.4467273
新北市淡水區學府路126號B1,25.1724625, 121.4504288
新北市深坑區平埔街22巷8號,25.0008468, 121.6155164
新北市瑞芳區中正路81號,25.1409145, 121.756683
新北市蘆洲區九芎街90巷6號,25.0802267, 121.4657896
新北市蘆洲區中山一路228號,25.0804161, 121.4728376
新北市蘆洲區中原路6-10號1樓,25.0837234, 121.461382
新北市蘆洲區水湳街74號1樓,25.0899966, 121.4704277
新北市蘆洲區永樂街38巷57弄2號,25.0904, 121.4583371
新北市蘆洲區保和里15鄰忠孝路23號,25.0853607, 121.4714201
新北市蘆洲區長安街232號,25.0856017, 121.4578193
新北市蘆洲區重陽街46號1樓,25.0831022, 121.4813944
新北市金山區中山路114號,25.2197004, 121.6396426
新北市鶯歌區建國路85號,24.9539776, 121.3530024
新北市八里區商港七路21號1樓,25.1481037, 121.3989927
新北市土城區廣明街63巷31號1F,24.9930699, 121.4539528
新北市土城區中央路二段191號B1,24.975535, 121.442173
新北市三重區新北市三重區新北大道一段115號B1,25.0612485, 121.4836254
新北市土城區學府路二段210號B2樓,24.9787201, 121.4451146
新北市板橋區文化路二段313號B1,25.0297361, 121.471884
新北市新莊區中港路336號,25.0456522, 121.452283
新北市蘆洲區光華路200號,25.0821002, 121.4643841
新北市板橋區中正路302號,25.020646, 121.4549298
新北市土城區明德路一段67號,24.9840433, 121.4654894
新北市永和區中和路499-1號,25.0021775, 121.5105211
新北市樹林區大雅路288號B1,24.9473463, 121.3799076
新北市板橋區府中路 126 號 1 樓,25.0095635, 121.4552233
新北市林口區文化二路一段 559 號 B1,25.077742, 121.3746979
新北市新店區中興路三段1號,24.9767463, 121.5463181
新北市樹林區大安路118號,24.9973154, 121.4214216
新北市土城區青雲路152號B1,24.9831701, 121.4586099
新北市中和區中山路二段295號B1,25.0018853, 121.4960574
新北市板橋區三民路二段31號B1,25.0176669, 121.4793872
新北市中和區景平路353號B1,24.9933104, 121.5047913
新北市新莊區中平路108號B1,25.0459248, 121.4449276
新北市三重區五華街282號,25.0879527, 121.4864941
新北市三重區重新路五段654號,25.0432856, 121.4675348
新北市汐止區新台五路一段99號B1,25.0620717, 121.6493654
新北市新莊區雙鳳路59號,25.0689633, 121.3675197
新北市淡水區中山北路二段383號,25.1880229, 121.4435645
新北市板橋區大觀路三段236號1樓之14、1樓之15,24.9922026, 121.4296291
新北市板橋區四維路247、249、251、253號,25.0275712, 121.4635326
新北市板橋區忠孝路237號,25.002893, 121.466101
新北市板橋區金門街153、155、159號,24.9904432, 121.4327521
新北市板橋區金門街357號,24.9848519, 121.42887
新北市林口區仁愛路二段89號,25.0752867, 121.3844972
新北市林口區公園路59號,25.0689633, 121.3675197
新北市林口區文化三路一段319、321、323、325號,25.072226, 121.3641322
新北市林口區文化三路一段543號,25.0757523, 121.3696081
新北市泰山區明志路二段95-97號,25.051933, 121.428534
新北市淡水區中山北路一段156號,25.1780618, 121.4442021
新北市淡水區民權路177巷12、16、18、20號,25.1350431, 121.4605093
新北市淡水區自強路106號B1,25.1294321, 121.4623623
新北市淡水區沙崙路168號,25.1834427, 121.4241941
新北市深坑區深坑區北深路三段151號,25.003228, 121.602635
新北市新店區北新路三段51號B1,24.9807584, 121.5416492
新北市新店區民族路71號B1,24.9780358, 121.5393526
新北市新店區如意街95、97號,24.9470047, 121.4953606
新北市新店區安康路二段136巷59號,24.9616574, 121.5116247
新北市新店區安康路二段196號B1,24.9598069, 121.5108238
新北市新店區安祥路85-89號,24.9623844, 121.4803907
新北市新店區新坡一街75號B1,24.963943, 121.549655
新北市新店區溪園路399號,24.9776787, 121.5237844
新北市新莊區中平路377巷18、20號,25.0527238, 121.4436582
新北市新莊區中信街72號,25.0519598, 121.4485689
新北市新莊區公園一路110號,25.037856, 121.4444088
新北市新莊區公園路226號,25.0404941, 121.4567766
新北市新莊區化成路193號,25.0505126, 121.4657818
新北市新莊區民安路157號之1,25.023464, 121.42573
新北市新莊區昌隆街69、75、83號,25.051318, 121.457225
新北市新莊區後港一路122-126號,25.0271021, 121.4290496
新北市新莊區富國路2號B1,25.0263681, 121.4182569
新北市新莊區龍安路75號,25.0215221, 121.4157842
新北市瑞芳區明燈路三段59-1號,25.1081066, 121.8057661
新北市樹林區太順路64號、66號、68號,24.9815605, 121.4198606
新北市樹林區復興路198號,24.9907834, 121.4197751
新北市樹林區學成路536號,24.9456139, 121.3807281
新北市蘆洲區三民路54號,25.0835826, 121.4755322
新北市蘆洲區中興街34、36號,25.0870229, 121.4811788
新北市蘆洲區長安街387號1樓,25.0882114, 121.4571794
新北市蘆洲區長榮路386號,25.087838, 121.459762
新北市三重區中正北路67號、69號,25.0630522, 121.4905409
新北市三重區五華街110巷1-4號,25.083056, 121.4920347
新北市三重區仁愛街81號,25.1409145, 121.756683
新北市三重區仁愛街285號及293號,25.0789355, 121.4927458
新北市三重區永福街245、247、249號,25.0743041, 121.4809576
新北市三重區重陽路一段41號,25.0578314, 121.4868743
新北市三重區溪尾街125號1樓,25.07967, 121.4894188
新北市三峽區中山路171號,24.9365163, 121.3640068
新北市三峽區光明路71號,25.0460951, 121.4652476
新北市土城區立德路105號,24.987553, 121.463859
新北市土城區金城路三段202-6號,24.9882937, 121.4695439
"新北市土城區學府路一段157,161號",24.9844219, 121.4511724
新北市中和區中山路三段1-3號,25.0078418, 121.4751868
新北市中和區民治街120號,25.0033531, 121.4753288
新北市中和區復興路268號,24.9905691, 121.5030633
新北市中和區圓通路274號,24.9908082, 121.4923032
新北市中和區壽德街20號1樓,24.9947666, 121.4661395
新北市中和區興南路一段20號B1,24.9911225, 121.5112596
新北市五股區成泰路一段6號,25.0672114, 121.4343219
新北市五股區成泰路一段235號之4,25.0794009, 121.4360864
新北市五股區西雲路169-1號、171號、171-1號,25.0949309, 121.4469013
新北市五股區明德路12巷5號,25.0719925, 121.4331045
新北市永和區中正路704號,25.0099626, 121.5161837
新北市永和區仁愛路152號B1,24.9831701, 121.4586099
新北市永和區竹林路60號,25.0137683, 121.5180921
新北市汐止區大同路二段285號B1,25.0658317, 121.6539469
新北市汐止區明峰街117號B1,25.0709597, 121.631162
新北市汐止區建成路39號,25.0729131, 121.6631762
新北市汐止區福德一路256號,25.064731, 121.633483
新北市汐止區樟樹一路176號1樓及174號地下室,25.0658459, 121.6423955
